"chrom","start","end","n_outlier_snps","statistic","pcadapt_overlap"
"11",20513139,20568490,56,"iHS",TRUE
"11",21220534,22519781,94,"iHS",TRUE
"11",22896738,22940637,10,"iHS",FALSE
"11",23153041,23254560,4,"iHS",TRUE
"11",23916014,23920121,2,"iHS",FALSE
"11",24162493,24162509,3,"iHS",FALSE
"11",24626488,24681678,2,"iHS",FALSE
"11",24935304,26057834,78,"iHS",FALSE
"11",26297226,26572184,65,"iHS",FALSE
"11",26947886,28012472,191,"iHS",FALSE
"11",28482042,28482042,1,"iHS",FALSE
"11",28730390,28796627,19,"iHS",TRUE
"12",2637133,2637133,1,"iHS",FALSE
"12",5715640,5777103,4,"iHS",FALSE
"12",6786496,6789358,2,"iHS",FALSE
"12",7720783,7720783,1,"iHS",TRUE
"12",8874961,8874961,1,"iHS",TRUE
"12",9131652,9206932,3,"iHS",TRUE
"12",9542284,10625785,47,"iHS",TRUE
"12",11806304,11806304,1,"iHS",FALSE
"12",12926494,13020602,2,"iHS",FALSE
"12",14647954,14647954,1,"iHS",FALSE
"12",15269441,15411925,10,"iHS",FALSE
"12",15771116,16361677,43,"iHS",TRUE
"12",17069323,17083193,5,"iHS",FALSE
"12",17331102,17331102,1,"iHS",FALSE
"12",17538309,17693693,111,"iHS",FALSE
"12",17896777,18064741,68,"iHS",FALSE
"12",18364231,18364231,1,"iHS",FALSE
"12",19668966,20099524,14,"iHS",TRUE
"12",20784871,20824413,10,"iHS",FALSE
"12",21513419,21727416,5,"iHS",FALSE
"12",22393828,22593652,4,"iHS",TRUE
"2",559812,657074,3,"iHS",TRUE
"2",1239896,1240478,2,"iHS",FALSE
"2",3203994,3203994,1,"iHS",FALSE
"2",4583068,4583068,1,"iHS",FALSE
"2",6559281,6559281,1,"iHS",TRUE
"2",8296470,8298956,2,"iHS",FALSE
"2",9017394,9017394,1,"iHS",TRUE
"2",10572500,10575976,7,"iHS",FALSE
"2",23030388,23030388,1,"iHS",TRUE
"2",24090509,24797368,145,"iHS",TRUE
"2",25037196,25037196,1,"iHS",FALSE
"2",25323852,25323852,1,"iHS",FALSE
"3",15620741,15735042,8,"iHS",FALSE
"3",18748839,18748839,1,"iHS",FALSE
"3",19004964,19114473,2,"iHS",TRUE
"3",19768188,19920514,2,"iHS",TRUE
"3",20258172,20279999,2,"iHS",TRUE
"3",21536774,21583116,3,"iHS",TRUE
"3",21921080,22038142,2,"iHS",TRUE
"3",33565781,33791668,11,"iHS",TRUE
"4",278718,297830,3,"iHS",TRUE
"4",915932,997607,3,"iHS",TRUE
"4",1214611,1214611,1,"iHS",TRUE
"4",1886456,2043185,8,"iHS",TRUE
"4",2286026,2521909,57,"iHS",TRUE
"4",3308522,3308522,1,"iHS",FALSE
"4",3558237,3586222,22,"iHS",FALSE
"4",4271200,4522969,37,"iHS",TRUE
"4",4800592,4800592,1,"iHS",TRUE
"4",5006357,5147741,6,"iHS",TRUE
"4",5672046,5672046,1,"iHS",TRUE
"4",6409992,6409992,1,"iHS",TRUE
"4",14212343,14212343,1,"iHS",FALSE
"4",16047046,16047046,1,"iHS",FALSE
"4",17818802,17907574,4,"iHS",TRUE
"4",19198995,19198995,1,"iHS",FALSE
"4",21084660,21466152,77,"iHS",FALSE
"4",22032044,22142831,3,"iHS",FALSE
"4",22924162,22971691,18,"iHS",FALSE
"4",23381802,23381802,1,"iHS",FALSE
"4",30311436,30371193,3,"iHS",TRUE
"4",31164273,32001679,48,"iHS",FALSE
"5",495800,495800,1,"iHS",TRUE
"5",1762556,1988855,3,"iHS",TRUE
"5",2214354,2441360,43,"iHS",TRUE
"5",5505966,5505966,1,"iHS",TRUE
"5",7997091,8461581,4,"iHS",TRUE
"5",9271239,9271239,1,"iHS",FALSE
"5",9572890,9572890,1,"iHS",FALSE
"5",10528739,10593629,15,"iHS",FALSE
"5",10820662,10857236,20,"iHS",FALSE
"5",21238517,21250383,4,"iHS",TRUE
"5",22590573,22663431,3,"iHS",TRUE
"6",1150565,1153665,2,"iHS",TRUE
"6",5665014,5676585,2,"iHS",FALSE
"6",7559816,7629011,25,"iHS",FALSE
"6",10008726,10805216,117,"iHS",TRUE
"6",11227704,11306077,3,"iHS",TRUE
"6",13055584,13056299,2,"iHS",TRUE
"6",14121803,14121803,1,"iHS",TRUE
"6",14831875,14831875,1,"iHS",TRUE
"6",15531715,15531715,1,"iHS",TRUE
"6",17587363,17622182,4,"iHS",TRUE
"6",18092195,18115848,4,"iHS",TRUE
"6",18978439,18978439,1,"iHS",TRUE
"6",19960299,19960299,1,"iHS",TRUE
"6",22661800,22682449,3,"iHS",TRUE
"6",30836683,30839335,2,"iHS",TRUE
"7",3152435,3178560,2,"iHS",FALSE
"7",10990177,11027265,2,"iHS",TRUE
"7",17489631,17489631,1,"iHS",FALSE
"7",17735460,17886527,72,"iHS",FALSE
"7",20248681,20248681,1,"iHS",TRUE
"7",20587116,20751948,3,"iHS",TRUE
"7",21842810,21842810,1,"iHS",TRUE
"7",22748230,22748230,1,"iHS",TRUE
"7",23158991,23158991,1,"iHS",TRUE
"7",26937391,26940975,2,"iHS",TRUE
"7",29358293,29452814,9,"iHS",FALSE
"8",887467,900906,2,"iHS",FALSE
"8",1292765,1301243,2,"iHS",FALSE
"8",2054978,2067387,6,"iHS",TRUE
"8",2778838,3170973,11,"iHS",TRUE
"8",6234971,6271635,3,"iHS",TRUE
"8",7859608,7859608,1,"iHS",TRUE
"8",8564654,8564654,1,"iHS",FALSE
"8",9205162,9543363,5,"iHS",TRUE
"8",9781924,9781924,1,"iHS",TRUE
"8",10089614,10089614,1,"iHS",TRUE
"8",10339075,10339075,1,"iHS",TRUE
"8",11900441,11900441,1,"iHS",TRUE
"8",12106878,12106878,1,"iHS",TRUE
"8",14490576,14490576,1,"iHS",TRUE
"8",15072186,15072186,1,"iHS",TRUE
"8",15420462,15684392,40,"iHS",TRUE
"8",17073734,17890866,51,"iHS",TRUE
"8",18501276,18501276,1,"iHS",FALSE
"8",19810607,19868807,4,"iHS",TRUE
"8",20137136,20199614,3,"iHS",TRUE
"8",26881987,27233300,13,"iHS",TRUE
"9",5830040,6776540,23,"iHS",TRUE
"9",7166017,7166017,1,"iHS",TRUE
"9",7384402,7410666,5,"iHS",TRUE
"9",7755942,7980286,6,"iHS",TRUE
"9",8199302,8199302,1,"iHS",TRUE
"9",8568208,8568208,1,"iHS",TRUE
"9",8960858,8960858,1,"iHS",TRUE
"9",9432439,9632420,28,"iHS",FALSE
"9",10113919,10113919,1,"iHS",TRUE
"9",10351253,10519955,11,"iHS",TRUE
"9",10735818,10752798,20,"iHS",TRUE
"9",11072748,11072748,1,"iHS",TRUE
"9",11300720,11331263,4,"iHS",TRUE
"9",13069401,13069401,1,"iHS",TRUE
"9",13620871,13751149,6,"iHS",TRUE
"9",14575826,14575826,1,"iHS",TRUE
"9",16112318,16112318,1,"iHS",TRUE
"9",19951485,19951485,1,"iHS",TRUE
"1",14710144,14711321,9,"XP-EHH",TRUE
"1",18485199,18485590,2,"XP-EHH",FALSE
"1",30153590,30153590,1,"XP-EHH",TRUE
"1",33927965,33941842,10,"XP-EHH",TRUE
"1",35940129,35947228,5,"XP-EHH",TRUE
"1",40884496,40884496,1,"XP-EHH",TRUE
"10",4333737,4541089,64,"XP-EHH",TRUE
"10",9326388,9326388,1,"XP-EHH",TRUE
"10",18878289,18998405,141,"XP-EHH",FALSE
"11",8290888,8291385,2,"XP-EHH",TRUE
"11",8597081,8597081,1,"XP-EHH",TRUE
"11",19548301,19554547,6,"XP-EHH",TRUE
"11",24626488,24628136,6,"XP-EHH",FALSE
"11",25606178,25616902,70,"XP-EHH",FALSE
"11",26961503,26961503,1,"XP-EHH",FALSE
"12",937437,1082001,63,"XP-EHH",TRUE
"12",1763328,1763328,1,"XP-EHH",TRUE
"12",2887230,2889564,5,"XP-EHH",FALSE
"12",15215637,15321724,5,"XP-EHH",FALSE
"12",19345073,19460933,29,"XP-EHH",TRUE
"12",20782557,20782557,1,"XP-EHH",FALSE
"12",21110382,21121519,15,"XP-EHH",FALSE
"12",21904757,21904842,3,"XP-EHH",FALSE
"2",2071319,2071790,3,"XP-EHH",FALSE
"2",9420014,9433267,5,"XP-EHH",TRUE
"2",13522635,13522635,1,"XP-EHH",TRUE
"2",19148334,19201561,55,"XP-EHH",TRUE
"2",21390821,21400857,11,"XP-EHH",TRUE
"2",23030388,23030938,3,"XP-EHH",TRUE
"2",34741202,34743953,4,"XP-EHH",TRUE
"2",35327873,35327874,2,"XP-EHH",TRUE
"3",16842769,17033362,24,"XP-EHH",TRUE
"3",18736835,18737771,2,"XP-EHH",FALSE
"3",18999921,19000454,2,"XP-EHH",TRUE
"3",19281019,19338801,2,"XP-EHH",TRUE
"3",20954877,20954877,1,"XP-EHH",TRUE
"3",24019284,24235615,33,"XP-EHH",TRUE
"3",24468298,24468612,2,"XP-EHH",TRUE
"3",28609620,28609620,1,"XP-EHH",TRUE
"3",29801697,30019360,47,"XP-EHH",TRUE
"3",30247940,30340367,41,"XP-EHH",TRUE
"4",898097,966879,183,"XP-EHH",TRUE
"4",4938013,4938445,7,"XP-EHH",TRUE
"4",19202226,19232689,56,"XP-EHH",FALSE
"4",22130477,22142849,6,"XP-EHH",FALSE
"4",22453244,22454186,4,"XP-EHH",FALSE
"4",33864560,33864560,1,"XP-EHH",FALSE
"5",1982979,2143621,2,"XP-EHH",TRUE
"5",8212356,8212356,1,"XP-EHH",FALSE
"5",10838216,10838216,1,"XP-EHH",FALSE
"5",21110464,21432184,213,"XP-EHH",TRUE
"5",27000112,27022650,30,"XP-EHH",TRUE
"6",5758331,5768225,21,"XP-EHH",FALSE
"6",10383837,10462588,121,"XP-EHH",TRUE
"6",13087482,13088013,6,"XP-EHH",TRUE
"6",20556185,20556185,1,"XP-EHH",TRUE
"7",1449708,1453356,10,"XP-EHH",TRUE
"7",2282318,2282318,1,"XP-EHH",TRUE
"7",6698814,6698814,1,"XP-EHH",TRUE
"7",7934471,7934948,3,"XP-EHH",FALSE
"7",13834313,13869477,16,"XP-EHH",TRUE
"7",16575855,16577185,4,"XP-EHH",TRUE
"7",18150588,18153073,4,"XP-EHH",FALSE
"7",18412165,18435336,18,"XP-EHH",FALSE
"7",20387733,20387733,1,"XP-EHH",TRUE
"7",26203681,26204235,2,"XP-EHH",TRUE
"7",27771567,27899768,11,"XP-EHH",TRUE
"7",28413913,28413962,2,"XP-EHH",TRUE
"8",842963,851816,14,"XP-EHH",FALSE
"8",1087874,1115239,27,"XP-EHH",TRUE
"8",1491845,1495043,7,"XP-EHH",TRUE
"8",1698207,1698207,1,"XP-EHH",TRUE
"8",2061294,2061294,1,"XP-EHH",TRUE
"8",8551458,8551458,1,"XP-EHH",FALSE
"8",10126622,10126622,1,"XP-EHH",TRUE
"8",10990183,10990183,1,"XP-EHH",TRUE
"8",12104890,12106878,2,"XP-EHH",TRUE
"8",14248303,14317052,10,"XP-EHH",TRUE
"8",16475540,16475977,2,"XP-EHH",TRUE
"8",17315940,17419909,4,"XP-EHH",TRUE
"9",9500854,9503356,2,"XP-EHH",FALSE
"9",9969694,10018676,11,"XP-EHH",FALSE
"9",10349211,10360993,4,"XP-EHH",TRUE
